都	7624851
係	6778612
我	6471541
唔	6210054
你	5818331
佢	4352672
，	4298279
好	4001553
咁	3305829
到	3126931
有	3008875
啦	2885202
個	2792816
人	2741951
左	2488897
就	2488251
得	2121087
既	2114566
又	1936600
撚	1860073
要	1846529
會	1836487
真係	1737192
？	1696985
同	1672277
想	1587738
黎	1532587
地	1502687
啲	1485134
嘅	1479285
先	1428583
屌	1414110
比	1412247
去	1357908
可以	1355480
呢	1287871
野	1264587
做	1256031
但	1239665
講	1222598
自己	1207567
唔係	1181927
無	1170091
幾	1161034
呀	1154782
睇	1137794
一	1122504
過	1096590
咩	1096366
出	1082630
話	1033534
冇	1005560
唔好	987963
多	964227
用	899496
買	885994
咗	876391
其實	851476
打	842559
d	798744
香港	786937
咪	779083
唔會	777198
俾	757990
返	750800
下	749944
應該	744985
狗	737579
大	729774
。	729122
好似	724699
仲	716388
覺得	714522
的	693725
隻	684141
好多	680738
已經	675273
果	672296
,	670267
玩	669362
點	666029
再	650617
兩	649257
係咪	645621
入	645317
架	637599
死	631670
食	617908
唔知	611152
連	603335
大家	589317
叫	579099
上	571781
識	553237
了	548565
如果	545471
有冇	534430
未	534333
條	533482
老母	515217
不過	513740
仔	509735
知	507878
班	496158
一個	496092
住	489352
巴打	488355
完	488103
?	487851
對	473553
就係	473099
點解	468428
洗	455221
因為	451213
而家	449827
埋	448546
走	440615
搵	434929
推	434023
最	428431
呢個	427526
波	427233
哂	424497
開	422385
所以	421414
場	416158
中	408766
幫	408418
算	407532
囉	406940
樣	403546
！	401594
夠	397364
緊	394485
乜	388168
等	384140
可能	382415
問	376860
啊	376065
鳩	369551
為	367006
錢	365331
岩	364850
番	361312
諗	359118
太	357474
仆街	357386
之後	354189
勁	347669
喎	345289
今日	339453
有無	337636
樓主	337046
日	333562
嚟	331209
一定	331205
仲有	330196
正	329507
問題	323227
晒	320610
登	316451
快	316188
依家	314462
成日	313259
隊	312379
事	312008
定	311456
一齊	309342
邊	305627
垃圾	304744
見到	304407
：	303941
D	296378
搞	295042
驚	295006
拎	293173
見	291551
加	291212
成	289616
姐	285553
有人	283772
仲要	282221
女	281443
少	279276
之前	279131
希望	278999
明	275267
香港人	274787
人地	273535
有咩	273460
三	269623
輸	268265
咁多	261526
落	261256
喇	260890
台	259469
但係	256404
開始	256403
贏	256356
其他	255635
著	255589
當	255067
真	252265
喺	251225
放	249643
位	248374
年	246128
柒	243917
一樣	243684
難	243244
笑	243128
不	242491
聽	241975
次	241652
幾多	240409
邊個	239964
高	239624
差	238963
變	238494
手足	235292
車	233934
訓	233911
換	233217
時間	232315
只係	229531
以為	229165
根本	228862
新	227080
愛	226788
爆	226577
而	225326
個個	223646
支持	223530
最後	222590
是	218022
前	217466
間	217418
請	216636
度	215518
起	214846
廢	210108
分	210049
原來	209931
拉	209132
抽	209065
曬	208213
理	206548
同埋	205987
信	205715
完全	202830
巴	202335
張	200915
朋友	199097
被	198726
踢	198072
件	196503
收	194538
轉	192414
行	191273
似	189618
政府	189159
聽日	188283
好好	183753
/	183287
可	182613
黑	182584
2	182478
靚	182431
繼續	181747
錯	181553
阿	180746
龍	180655
後	180252
嘢	179096
唔同	178667
水	178497
黑警	178372
時	177801
升	176425
反	176361
就算	174091
鍾意	173239
幾時	172631
全部	172568
關	172095
睇下	171079
賣	170539
易	169898
追	169484
個人	169320
開心	169228
陣	169078
好過	168295
支那	168135
呢啲	168083
整	167914
屋企	166502
球	166195
3	165347
淨係	164883
由	163519
線	162893
以前	162578
機	162532
之	162016
本身	161198
帶	160564
學	160179
頭	159768
跟	158936
睇到	158734
扮	158528
不如	158518
手	158161
依	157751
生	157409
小	157228
馬	157108
今次	153910
派	153366
西	153151
有得	152592
計	151765
文	151715
卡	151283
冇人	150800
在	150716
飛	150186
五	150029
豬	149750
送	149422
無人	149064
、	148554
種	147248
月	146546
利	146441
射	146305
大陸	145390
教	144475
敢	144178
友	143585
套	142613
心	142205
坐	142082
角	141893
神	141367
第一	140133
少少	139753
美	139663
有啲	139400
牙	139339
細	139280
今晚	138408
刷	138302
嗰	137830
句	137814
日本	136767
季	136761
留	136604
半	136580
即係	136328
一定要	136025
影	135761
路	135687
.	135597
日日	135504
痴	134957
正常	133874
鐘意	132934
肯	132803
一次	132717
幫手	132254
雖然	132198
字	131924
做乜	131622
樓	131443
工	131206
斯	130215
終於	129744
重	129415
估	129350
哥	129347
返工	129125
圖	128644
記得	128369
利申	128214
片	128153
揀	127929
排	127844
多謝	127094
寫	127042
今	126606
集	126229
又要	124759
更	124467
越	123950
最好	123783
佬	123684
粒	123594
名	123573
公司	123499
機會	123470
炒	123410
法	123360
假	123293
條女	122965
成個	122956
將	122831
閪	122221
中國	122004
改	121605
和	121336
力	121315
讀	120677
已	120654
有時	120653
女人	120523
㗎	120281
早	119973
區	119221
全	119052
需要	119031
雞	118401
拍	117980
搞到	117901
老	117569
直接	117550
美國	117513
腳	117490
怕	117260
真心	116767
港	116093
頂	115840
單	115711
版	115678
重要	115670
即刻	115516
做咩	115185
感覺	115116
諗住	114894
5	114567
平	114326
低	114002
或者	113415
準備	113388
所有	112918
革命	112813
男人	112734
令	112581
肥	112222
好耐	111789
跌	110637
求	110318
金	109718
時候	109391
歌	109103
明明	108642
記	108555
地方	108082
來	108067
4	107737
白	107304
愈	105962
一日	105818
落去	105438
王	105426
屎	105330
林	105323
嫁	105095
警察	104963
入面	104826
紅	104595
天	104529
收皮	104370
星	104003
除	103896
嘛	103691
唔該	103629
吓	103512
本	103451
女仔	102722
然後	102548
鬼	102316
數	102300
光復	102150
以	102103
共	102033
企	102028
黃	101931
慘	101426
唱	101192
答	101093
試下	100982
清	100889
超	100862
世界	100749
佢哋	100603
時代	100412
試	100326
腦	100192
長	100151
實	100073
上面	99325
辛苦	99204
奶	98976
做到	98882
平時	98832
知道	98811
啱	98726
飲	98308
舊	98253
貴	98180
救	98142
討論	98080
街	97960
蚊	97860
警	97788
試過	97597
首	97488
執	97267
家	97158
殺	97013
各位	96950
眼	96771
吹	96550
個月	96362
望	96135
面	96126
一直	95709
靠	95706
啫	95647
達	95604
掂	95485
一係	95378
聲	95186
台灣	95143
去到	95118
唔使	94990
咋	94951
衰	94562
機場	94331
冇得	94130
方法	94025
底	93908
十	93819
二	93558
認	93530
妹	93343
支	93237
小心	93075
覺	92887
四	92860
宜家	92820
特別	92809
1	92689
反而	92653
仲係	91920
份	91860
貼	91787
成班	91663
裝	91581
醒	91538
差唔多	91282
問下	91247
還	91220
喊	90799
拿	90331
型	90305
畀	90268
藍	90248
濕	90077
部	90076
子	89603
主	89535
掛	89099
撚樣	89061
傷	88970
火	88866
停	88865
傻	88710
講到	88664
訴求	88343
勇武	87880
分別	87862
到時	87675
痴線	87208
萬	86589
戰	86289
膠	85931
煩	85916
仲未	85796
文宣	85753
9	85649
者	85464
牛	85249
飯	85182
英文	84990
傾	84588
只	83770
撐	83540
有錢	83304
毒撚	83276
石	82912
跑	82900
站	82864
強	82802
情況	82719
捉	82650
下次	82401
和理非	82338
屈	82325
中共	82291
皮	82209
次次	82122
出去	81825
大把	81767
唔記得	81670
廢老	81304
慢慢	81132
嬲	80950
電話	80946
雲	80868
起碼	80591
男	80533
又話	80509
塞	80424
攻	80401
貓	80385
抵	80234
點會	80134
個陣	80124
今年	79966
國	79920
認真	79755
尼	79678
好彩	79649
山	79555
包	79326
一早	79286
極	79181
照	79180
味	79003
加油	78959
忍	78944
前線	78485
代表	78472
同一	78434
駛	78368
咁大	78277
點知	78255
怪	78167
華	78116
身	77934
講緊	77814
咩事	77697
入去	77464
攞	77240
臭	77188
段	77143
記者	77132
先有	77078
衫	77069
口	76962
燒	76557
第二	76547
影響	76508
痛	76453
比較	76452
價	76180
貨	76167
堆	76120
報	75979
老豆	75552
回	75548
把	75482
好睇	75419
能	75322
我哋	75145
第一次	75081
外國	75022
成功	74749
」	74550
左一	74440
肯定	74206
燈	74037
道	73900
衝	73739
傳	73481
點樣	73393
鐵	73373
格	73120
沙	72990
書	72968
技	72887
「	72811
黨	72537
接受	72395
花	72383
想睇	72337
就要	72210
自	72009
練	71777
抗爭	71762
全家	71747
市民	71694
一陣	71639
血	71381
唔通	71255
亂	71246
就知	71185
毒	71116
女朋友	70964
決定	70841
活動	70714
迷	70615
擺	70337
寶	70262
迪	70194
搵到	69970
拖	69867
發現	69758
永遠	69663
相	69418
不嬲	69402
新聞	69390
絲打	69095
當然	68982
夾	68935
睇完	68795
禁	68791
搭	68657
搶	68433
得閒	68282
賺	68228
嗎	68129
留名	68070
投	68059
跟住	67991
想要	67986
星期	67721
遊行	67681
甲	67641
運動	67564
遠	67396
交	67352
鄭	67274
個名	67264
上去	66949
努力	66939
出現	66701
朗	66626
向	66555
結果	66513
諗起	66125
盤	66053
建議	66034
:	66022
齊	65633
一個人	65616
眾	65506
7	65433
熱	65259
發生	65243
解	65210
定係	65181
英	65136
近	65066
氣	64762
五毛	64364
聽到	64351
靚仔	64323
期	64233
最多	64127
提	64051
跳	64022
光	63981
基	63904
篇	63741
發	63719
牌	63594
賤	63530
關係	63478
以後	63441
與	63435
呢度	63397
化	63390
翻	63359
打到	63335
彈	63334
養	63241
上次	63215
老婆	63146
到底	63067
耐	62907
約	62896
唔見	62761
通常	62638
男朋友	62614
生活	62569
放棄	62550
究竟	62435
城	62418
足	62402
斬	62363
邊有	62345
獨立	62184
藍絲	62153
講得	62152
風	62129
當年	62124
大佬	62113
內	62064
證明	61977
就真	61951
咁耐	61922
未必	61898
明顯	61678
槍	61567
團	61451
元朗	61436
考	61368
其他人	61067
係唔係	61026
行動	61006
學生	60989
呃	60984
返去	60960
性	60779
6	60662
一路	60456
網	60308
扑	60287
守	60244
米	60003
嘈	59976
刀	59927
唉	59785
簽	59721
冇乜	59547
分鐘	59429
吧	59379
咁快	59376
巴絲	59230
組	59037
簡單	58841
普	58757
客	58735
歲	58680
班人	58497
分化	58442
就可以	58406
六	58231
不了	58209
尾	58086
也	58066
戲	58032
受	57836
國家	57681
割	57579
雙	57573
唔錯	57487
借	57478
出聲	57473
嘅話	57222
社會	57063
親	57047
啱啱	57030
斷	56911
讓	56837
招	56822
秒	56760
串	56672
覆	56608
悶	56561
邊度	56557
佢老母	56555
醫生	56540
遲	56361
要求	56359
爭	56019
何	55898
補	55735
更加	55712
而且	55709
鐘	55689
預	55656
竟然	55600
陳	55575
安	55481
就話	55369
無咩	55366
意思	55079
毛	55042
魔	55001
保	54910
留意	54909
旅行	54835
第	54831
硬	54771
相信	54622
一年	54590
散	54584
點解要	54565
即	54557
事實	54538
封	54500
防	54462
課	54031
個位	53983
蛇	53970
特	53960
上網	53914
原因	53849
分手	53828
雷	53720
出街	53637
有機會	53515
熊	53500
暫時	53448
示威者	53352
戴	53341
劍	53303
巴士	53230
慢	53222
告	53167
能力	53144
任	52952
中意	52901
選	52876
新手	52789
古	52776
沒有	52694
盡	52669
諗過	52563
只要	52514
禾	52489
阻	52407
弱智	52274
就冇	52267
一下	52234
嗰啲	52181
瞓	52133
賭	52118
屋企人	52011
只有	51969
咁多人	51903
圍	51819
自由	51751
只會	51744
8	51733
及	51662
最大	51619
皇	51510
說	51499
全世界	51492
嗰個	51435
目標	51217
揾	51108
煙	51090
義士	51064
入波	51047
陪	51013
失	50992
爛	50985
清楚	50935
添	50877
隔離	50873
冇咩	50607
亞	50421
他	50403
講真	50384
李	50314
叻	50306
科	50292
好心	50243
亦	50239
人生	50225
普通	50174
田	50161
杯	50157
有問題	49901
身邊	49896
球員	49881
咁做	49862
食飯	49830
始終	49717
點睇	49687
突然	49659
摩	49659
癲	49627
每日	49602
國際	49596
重點	49558
值得	49395
制	49248
後面	49212
英國	49162
最近	49090
油	49079
就咁	49077
依個	49068
世	49044
幾耐	49039
溝	48952
麻煩	48939
民	48887
選擇	48862
千	48805
個鐘	48771
